Unnamed: 0,stator_kv,mfr,group_number,requested_test_kv,media,mediana,desviacion_estandar,moda,B,A,Q,F
57,13.8,GMX,GST,2.0,-0.577734717616029,0.8679679843179542,-0.8014034882215296,0.94,1.1990994659432794,1.5064808568005206,1.8138622476577613,False
58,13.8,GMX,GST,4.0,-0.5226851671138262,0.93,-0.794131270759425,0.91,1.2814843166784935,1.5953562759269555,1.909228235175418,False
59,13.8,GMX,GST,6.0,-0.4029713761424238,1.04,-0.7885953585653181,0.86,1.4514691006819125,1.7702819485782846,2.089094796474657,False
60,13.8,GMX,GST,8.0,-0.2093573921894768,1.2499374796700822,-0.5758227571112453,0.96,1.9082986830178572,2.417014422117933,2.9257301612180084,False
61,13.8,GMX,UST,2.0,-0.30232512928284366,0.9689888655610422,0.14664516615702072,0.75,2.42494231893233,3.578472035457001,4.732001751981672,False
62,13.8,GMX,UST,4.0,-0.38545366610096027,0.8516260029276232,0.1884380491775446,0.57,2.347637635127004,3.538468156657101,4.729298678187199,False
63,13.8,GMX,UST,6.0,-0.43278948775397,0.8,0.15315413111107873,0.88,2.250886464349611,3.410225534405103,4.569564604460595,False
64,13.8,GMX,UST,8.0,-0.4101951808238863,0.805,0.1706330813262215,0.64,2.297636433512494,3.4725757413729355,4.647515049233377,False
65,13.8,MIT,GST,2.0,-0.5051072608060247,0.988735907234973,-0.9541154360708334,0.95,1.162929785106242,1.334013362148429,1.5050969391906155,False
66,13.8,MIT,GST,4.0,-0.44665070300065757,1.09202660454788,-0.9259831275560401,0.93,1.2686296791954772,1.4648217837768498,1.6610138883582226,False
67,13.8,MIT,GST,6.0,-0.2563690915361426,1.39,-0.7915571257687648,1.33,1.6509395012388692,1.9671089253524656,2.283278349466062,False
68,13.8,MIT,GST,8.0,0.06746504145686277,1.925,-0.5582477881137307,1.89,2.305626971242513,2.8300286464200486,3.354430321597584,False
69,13.8,MIT,UST,2.0,0.16797675174500143,1.6252778238799288,0.24792489907697055,1.32,3.163719636398887,4.407643106491443,5.651566576583999,False
70,13.8,MIT,UST,4.0,0.10849754993055688,1.5144772032241771,0.2500747971518163,1.14,3.0836372154316622,4.329479503348583,5.575321791265504,False
71,13.8,MIT,UST,6.0,0.1356827352088546,1.4976543277150849,0.26429699449191013,1.16,3.133809714206947,4.392345536797487,5.650881359388027,False
72,13.8,MIT,UST,8.0,0.1700141237155708,1.5410773691536337,0.3099708563799401,0.25,3.221905459536121,4.521205921773405,5.82050638401069,False
73,13.8,MIT,UST,10.0,0.29143327902488286,2.09,,2.09,,,,False
74,13.8,OTH,GST,2.0,-0.5704863041137368,0.8988719071822175,-1.1059277356836374,0.8672199393498445,0.9372998426875808,0.9728885561066556,1.0084772695257307,False
75,13.8,OTH,GST,4.0,-0.5475253668605875,0.9290101061421308,-1.11658948598752,0.9088498563172256,0.9594392506726528,0.9855121843618068,1.0115851180509603,False
