,stator_kv,mfr,group_number,requested_test_kv,media,mediana,desviacion_estandar,moda,B,A,Q,F
25,13.0,OTH,GST,8.0,0.9072170980807771,0.9129647168820368,0.06037256903522035,0.83,0.9675896671159975,1.0279622361512177,1.088334805186438,False
26,13.0,OTH,UST,2.0,2.6420097350876244,2.7049608619230563,1.279555325392511,1.01,3.9215650604801353,5.201120385872646,6.480675711265157,False
27,13.0,OTH,UST,4.0,2.545993788044216,2.630812121135535,1.2456422186309297,0.96,3.7916360066751453,5.037278225306075,6.282920443937005,False
28,13.0,OTH,UST,6.0,2.6829075361092274,2.574916462872212,1.2019474843196196,0.83,3.884855020428847,5.086802504748467,6.288749989068086,False
29,13.0,OTH,UST,8.0,2.474557922739678,2.443323922993504,1.2101336596531231,0.63,3.684691582392801,4.894825242045924,6.104958901699048,False
30,13.0,OTH,UST,10.0,1.6485345153004027,1.6274000976213765,0.1718755898896732,1.4882034482798312,1.8204101051900758,1.9922856950797492,2.1641612849694223,False
31,13.8,ALS,GST,2.0,0.9900175430967425,0.9357993463093852,0.18617191058388005,0.84,1.1761894536806226,1.3623613642645025,1.5485332748483827,False
32,13.8,ALS,GST,4.0,1.088189512745198,1.0327656928837108,0.19048616125978665,0.97,1.2786756740049845,1.4691618352647713,1.6596479965245579,False
33,13.8,ALS,GST,6.0,1.6253344581356444,1.6151339709385666,0.21045401172875874,1.39,1.8357884698644031,2.0462424815931617,2.2566964933219205,False
34,13.8,ALS,GST,8.0,2.3483822794685705,2.3453017284536744,0.22964053431486314,2.15,2.578022813783434,2.8076633480982967,3.03730388241316,False
35,13.8,ALS,GST,10.0,3.123333333333333,3.11,0.12127104628338412,2.98,3.244604379616717,3.3658754259001014,3.4871464721834853,False
36,13.8,ALS,UST,2.0,2.720137787450129,1.975,1.6341478805201273,1.79,4.354285667970256,5.9884335484903835,7.622581429010511,False
37,13.8,ALS,UST,4.0,2.636474991329086,1.9049999999999998,1.6588313440097753,2.84,4.295306335338862,5.954137679348637,7.612969023358412,False
38,13.8,ALS,UST,6.0,2.675540174998174,1.95,1.6834133876670205,1.95,4.358953562665194,6.042366950332215,7.725780337999236,False
39,13.8,ALS,UST,8.0,2.7193825678370724,2.005,1.7144037639665637,1.75,4.433786331803637,6.1481900957702,7.862593859736764,False
40,13.8,ALS,UST,10.0,2.938333333333333,2.8449999999999998,1.2590062218538343,1.71,4.197339555187167,5.456345777041001,6.715351998894835,False
41,13.8,ANS,GST,2.0,1.4598760561327144,1.4638470265619026,0.24570062854727243,1.48,1.705576684679987,1.9512773132272594,2.1969779417745317,False
42,13.8,ANS,GST,4.0,1.7949323969931212,1.8,0.3327601586408901,1.74,2.1276925556340114,2.4604527142749015,2.7932128729157917,False
43,13.8,ANS,GST,6.0,2.3373490979960416,2.320088442286728,0.380947533364331,2.21,2.7182966313603725,3.0992441647247038,3.4801916980890346,False
44,13.8,ANS,GST,8.0,2.9394970858633256,2.898751204480842,0.3293594585408298,2.71,3.2688565444041555,3.5982160029449854,3.927575461485815,False
